Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV Mean,CV Std
Logistic Regression,0.8034066713981547,0.6600660066006601,0.5347593582887701,0.5908419497784343,0.8458446356144566,0.8475376049288637,0.012659321123453459
Random Forest,0.801277501774308,0.6666666666666666,0.5026737967914439,0.573170731707317,0.8382895450670387,0.8422915334380466,0.014022024909038186
